,Observations,age,hand,gender,T_2.7,alpha_2.7,T_2.8,alpha_2.8,T_2.9,alpha_2.9,T_3.0,alpha_3.0,T_3.1,alpha_3.1,T_3.2,alpha_3.2,Group
539,CC621184,69,100,0,1.646499402,1.707293237,1.525733894,1.567016033,1.550265435,1.44392518,1.415177053,1.40193343,1.397035497,1.348872622,1.29362699,1.339769173,6
443,CC610039,70,53,0,1.776117725,1.791660613,1.743023005,1.758448177,1.581369316,1.526227386,1.565116141,1.460065636,1.276431484,1.457209668,1.277249732,1.250983986,6
465,CC610372,70,80,0,1.678132558,1.805341804,1.630898223,1.687430113,1.595536694,1.633124892,1.569060163,1.535473595,1.432628534,1.461877344,1.384276766,1.402011629,6
470,CC610496,70,100,0,1.338863346,1.287766488,1.324905442,1.271226267,1.473844598,1.566750564,1.298056829,1.271017936,1.292379727,1.259532987,1.304360863,1.268477936,6
476,CC610625,70,100,1,1.94192293,1.290215877,1.712283675,1.277724336,1.469872701,1.550229219,1.543036818,1.480543848,1.406957725,1.410532009,1.412292608,1.41018354,6
480,CC610671,70,100,1,1.541083681,1.524728101,1.386548131,1.412402417,1.412275172,1.45747662,1.348812106,1.397469365,1.418854558,1.381006303,1.285747375,1.311953061,6
482,CC620026,70,100,1,1.899354114,1.729520734,1.798064231,1.619333948,1.790232785,1.272035554,1.633686179,1.265459351,1.477402423,1.593020458,1.475682898,1.401993605,6
485,CC620085,70,100,1,1.558508234,1.550692002,1.556810238,1.568860295,1.448424057,1.270405747,1.502186805,1.518778836,1.517273842,1.425228422,1.334370254,1.39184503,6
514,CC620496,70,100,1,1.77806966,1.352690157,1.33553429,1.27472313,1.607873617,1.253931257,1.424182608,1.389129149,1.443065157,1.24789996,1.263370828,1.428391611,6
531,CC620821,70,100,0,1.831826518,1.849872338,1.820057025,1.682607511,1.413958457,1.563745001,1.488678731,1.463726068,1.355608963,1.264917375,1.301013526,1.349865316,6
536,CC621080,70,70,0,1.427207542,1.435119053,1.338081481,1.37581116,1.317689106,1.270650971,1.307479704,1.263064423,1.285362031,1.251381737,1.279658158,1.24600427,6
446,CC610050,71,100,1,1.567725092,1.762645367,1.482808129,1.641707366,1.492566074,1.459081801,1.402853698,1.39473672,1.405069276,1.409864972,1.331361093,1.368703833,6
460,CC610285,71,90,0,1.716179098,1.658722465,1.729957859,1.287086232,1.591400413,1.463076194,1.476464011,1.500723028,1.434081604,1.259329696,1.409003261,1.405323612,6
464,CC610344,71,100,1,1.585299791,1.578602633,1.640008433,1.505446369,1.363904596,1.418275184,1.462756321,1.420360067,1.431490183,1.394122293,1.3358126,1.334250215,6
473,CC610575,71,100,1,1.696791006,1.317266854,1.518202616,1.479686416,1.642385139,1.416582735,1.288041328,1.264691799,1.313975265,1.422933053,1.350364595,1.295525055,6
478,CC610653,71,100,0,1.903209571,1.764389826,1.685498879,1.662397865,1.691522211,1.276822839,1.535512418,1.315693406,1.431171301,1.563782909,1.477903212,1.249321697,6
486,CC620090,71,89,1,1.594496723,1.337191729,1.477929772,1.291650239,1.282277824,1.249667512,1.423440167,1.252911633,1.406040558,1.348422005,1.33864734,1.465495215,6
487,CC620106,71,100,1,1.375202738,1.270695631,1.282386096,1.272980863,1.280120554,1.312814898,1.275656451,1.298175532,1.275413854,1.286690341,1.264161724,1.25773174,6
489,CC620118,71,100,1,1.683706043,1.605818991,1.589445952,1.513203157,1.346170154,1.778720798,1.610857642,1.639677321,1.563292982,1.572721157,1.361768279,1.349842323,6
515,CC620499,71,90,0,1.352021781,1.350342571,1.623508865,1.670921377,1.315870622,1.540878126,1.302171542,1.27324728,1.293138066,1.255453443,1.285462652,1.296815672,6
